LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,2012,2013,2014,2015,2016,LEVEL
Community Dev Block Grant,Community Development,Grant Year 11/12,Cdbg Interest Inc,,,,132471,,,,,4
Community Dev Block Grant,Community Development,Grant Year 11/12,Cdbg Principal Repay,,,,114959,,,,,4
Community Dev Block Grant,Community Development,Grant Year 11/12,Federal Grants,,,,2256455,,,,,4
Community Dev Block Grant,Community Development,Grant Year 11/12,Proceeds From Sale Of Property,,,,232200,,,,,4
Community Dev Block Grant,Community Development,Grant Year 11/12,Rental Income,,,,46241,,,,,4
Community Dev Block Grant,Community Development,Grant Year 11/12 Total,,,,,2782326,,,,,3
Community Dev Block Grant,Community Development,Grant Year 2012/2013,Cdbg Interest Inc,,,,,120575,,,,4
Community Dev Block Grant,Community Development,Grant Year 2012/2013,Cdbg Principal Repay,,,,,361725,,,,4
Community Dev Block Grant,Community Development,Grant Year 2012/2013,Federal Grants,,,,,2452706,,,,4
Community Dev Block Grant,Community Development,Grant Year 2012/2013,Proceeds From Sale Of Property,,,,,204000,,,,4
Community Dev Block Grant,Community Development,Grant Year 2012/2013,Rental Income,,,,,49842,,,,4
Community Dev Block Grant,Community Development,Grant Year 2012/2013 Total,,,,,,3188848,,,,3
Community Dev Block Grant,Community Development,Grant Year 2013/2014,Cdbg Interest Inc,,,,,,121740,,,4
Community Dev Block Grant,Community Development,Grant Year 2013/2014,Cdbg Principal Repay,,,,,,284060,,,4
Community Dev Block Grant,Community Development,Grant Year 2013/2014,Federal Grants,,,,,,2672184,,,4
Community Dev Block Grant,Community Development,Grant Year 2013/2014,Proceeds From Sale Of Property,,,,,,236000,,,4
Community Dev Block Grant,Community Development,Grant Year 2013/2014,Rental Income,,,,,,57076,,,4
Community Dev Block Grant,Community Development,Grant Year 2013/2014 Total,,,,,,,3371060,,,3
Community Dev Block Grant,Community Development,Non-Program Revenues,Cdbg Interest Inc,,,,,,,102000,105700,4
Community Dev Block Grant,Community Development,Non-Program Revenues,Cdbg Principal Repay,,,,,,,200000,196300,4
Community Dev Block Grant,Community Development,Non-Program Revenues,Federal Grants,,,,,,,2690753,2809629,4
Community Dev Block Grant,Community Development,Non-Program Revenues,Proceeds From Sale Of Property,,,,,,,604000,812000,4
Community Dev Block Grant,Community Development,Non-Program Revenues,Rental Income,,,,,,,57076,41740,4
Community Dev Block Grant,Community Development,Non-Program Revenues Total,,,,,,,,3653829,3965369,3
Community Dev Block Grant,Community Development Total,,,,,,2782326,3188848,3371060,3653829,3965369,2
Community Dev Block Grant Total,,,,,,,2782326,3188848,3371060,3653829,3965369,1
