Fund,Department,Program / Account Type,Account Description,Current,Amount,Revenue
Community Dev Block Grant,Community Development,CDBG Administration,Direct Expenses,-2031,3897,FALSE
Community Dev Block Grant,Community Development,CDBG Administration,Employee Benefits,-10328,26624,FALSE
Community Dev Block Grant,Community Development,CDBG Administration,Interfund Transfers In/Out,175016,193181,FALSE
Community Dev Block Grant,Community Development,CDBG Administration,Other Expense,306559,306559,FALSE
Community Dev Block Grant,Community Development,CDBG Planning Admin,Other Expense,244627,244627,FALSE
Community Dev Block Grant,Community Development,Grant Year 2014/2015,Employee Benefits,-108723,,FALSE
Community Dev Block Grant,Community Development,Grant Year 2014/2015,Salaries and Wages,-364424,,FALSE
Community Dev Block Grant,Community Development,Housing & Neighborhd Preserva,Direct Expenses,50000,50000,FALSE
Community Dev Block Grant,Community Development,Non Program Expenditures,Capital Project Expense,-348500,313500,FALSE
Community Dev Block Grant,Community Development,Non Program Expenditures,Direct Expenses,-127355,58000,FALSE
Community Dev Block Grant,Community Development,Non Program Expenditures,Employee Benefits,-74904,,FALSE
Community Dev Block Grant,Community Development,Non Program Expenditures,Interfund Transfers In/Out,-151573,200,FALSE
Community Dev Block Grant,Community Development,Non Program Expenditures,Miscellaneous,-94500,25500,FALSE
Community Dev Block Grant,Community Development,Non Program Expenditures,Other Expense,976721,2643281,FALSE
Community Dev Block Grant,Community Development,Non Program Expenditures,Salaries and Wages,-259045,,FALSE
Community Dev Block Grant,Community Development,S Wilmington St Cntr,Other Expense,100000,100000,FALSE
Conv Ctr Financing Fd-Spec Rev,Finance Administration,Non Program Expenditures,Capital Project Expense,1432191,1432191,FALSE
Conv Ctr Financing Fd-Spec Rev,Finance Administration,Non Program Expenditures,Interfund Transfers In/Out,-2209175,4082825,FALSE
Conv Ctr Financing Fd-Spec Rev,Finance Administration,Wake County,Direct Expenses,-3600000,500000,FALSE
Conv Ctr Financing Fd-Spec Rev,Treasury Office,Non Program Expenditures,Interfund Transfers In/Out,920,18476920,FALSE
Conv Ctr Financing Fd-Spec Rev,Treasury Office,Rcc Marketing/Booking Program,Direct Expenses,0,450000,FALSE
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC,Capital Equipment,-5000,23400,FALSE
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC,Direct Expenses,665117.73,2724835.73,FALSE
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC,Employee Benefits,-9163.82,101488.22,FALSE
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC,Miscellaneous,-18610,16700,FALSE
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC,Other Expense,-900,,FALSE
E 911 State Tax Fund-Operating,Emergency Communications,Emergency Phone Sys (NC)-ECC,Salaries and Wages,14318.42,414212.39,FALSE
Economic Development Fund,Budget & Management Services,Economic Dev,Direct Expenses,1000,3500,FALSE
Economic Development Fund,Budget & Management Services,Economic Dev,Interfund Transfers In/Out,-27500,,FALSE
Economic Development Fund,Finance Administration,Green Square Project,Direct Expenses,0,400000,FALSE
Economic Development Fund,Finance Administration,St. Aug Stadium Interlocal Pro,Direct Expenses,0,100000,FALSE
Economic Development Fund,Office of Economic Development,Chamber Of Comm Proj,Direct Expenses,0,170000,FALSE
Economic Development Fund,Office of Economic Development,Downtown Development,Direct Expenses,0,108450,FALSE
Economic Development Fund,Office of Economic Development,Economic Dev,Direct Expenses,70000,280000,FALSE
Economic Development Fund,Office of Economic Development,Economic Dev,Other Expense,-136000,66000,FALSE
Economic Development Fund,Office of Economic Development,Economic Incentives,Direct Expenses,0,150000,FALSE
Economic Development Fund,Office of Economic Development,Green Square Project,Direct Expenses,0,100000,FALSE
Economic Development Fund,Office of Economic Development,Hillsborough St Dev,Direct Expenses,-5487,125513,FALSE
Economic Development Fund,Office of Economic Development,RDU Airport Authority,Other Expense,0,12500,FALSE
Economic Development Fund,Office of Economic Development,Se Raleigh Assembly,Other Expense,-51019,155981,FALSE
Economic Development Fund,Office of Economic Development,Triangle J Cog,Other Expense,0,115000,FALSE
Emergency Shelter Grant,Community Development,Non Program Expenditures,Other Expense,-217085,,FALSE
Emergency Solution Grant,Community Development,Non Program Expenditures,Other Expense,239845,239845,FALSE
General Debt Service Fund,Non-Departmental,Non-Program Revenues,Direct Expenses,1593795,1593795,FALSE
General Debt Service Fund,Treasury Office,2014 B LOB CPSC/FS12/Pk Ref,Capital Project Expense,2009000,2009000,FALSE
General Debt Service Fund,Treasury Office,2015 Fire Station 14,Capital Project Expense,1131400,1131400,FALSE
General Debt Service Fund,Treasury Office,Amphth/Softball Cops,Capital Project Expense,0,949400,FALSE
General Debt Service Fund,Treasury Office,Barw Rd/Brier Crk/Pud Op Ctr C,Capital Project Expense,0,736700,FALSE
General Debt Service Fund,Treasury Office,Boa Mst Inst Schd 2-Remote Ops,Capital Project Expense,0,1220400,FALSE
General Debt Service Fund,Treasury Office,Bond Issuance Costs,Capital Project Expense,0,100000,FALSE
General Debt Service Fund,Treasury Office,CELPSC Remote Ops COPS Ser 200,Capital Project Expense,0,2766400,FALSE
General Debt Service Fund,Treasury Office,Critical PS Ctr S2014 LOBs,Capital Project Expense,-2009000,,FALSE
General Debt Service Fund,Treasury Office,DTW OPS 8/13 LOBS,Capital Project Expense,0,4541700,FALSE
General Debt Service Fund,Treasury Office,Fayetteville St Ext-2007 Cops,Capital Project Expense,0,533100,FALSE
General Debt Service Fund,Treasury Office,Fayetteville St Renaissance,Capital Project Expense,0,642600,FALSE
General Debt Service Fund,Treasury Office,Fire Stations 12 & 14,Capital Project Expense,-1131400,,FALSE
General Debt Service Fund,Treasury Office,General Debt Service,Capital Project Expense,16060627,53109127,FALSE
General Debt Service Fund,Treasury Office,General Debt Service,Direct Expenses,0,1285000,FALSE
General Debt Service Fund,Treasury Office,Martin De Porres/Ral Fed 94/95,Capital Project Expense,0,28700,FALSE
General Debt Service Fund,Treasury Office,PAC 5/13 Draw Program,Capital Project Expense,0,220000,FALSE
General Debt Service Fund,Treasury Office,Rbc-Install Finan - Erp,Capital Project Expense,0,3187000,FALSE
General Debt Service Fund,Treasury Office,Remote Ops Fac-Set 2010,Capital Project Expense,0,2254600,FALSE
General Debt Service Fund,Treasury Office,Transfer Station-Sws Debt Serv,Capital Project Expense,0,127800,FALSE
General Debt Service Fund,Treasury Office,VFD Debt Svc Reimbursement,Capital Project Expense,0,50000,FALSE
General Fund,Accounting & Fin Reporting,Adm-Finance,Capital Equipment,-1200,800,FALSE
General Fund,Accounting & Fin Reporting,Adm-Finance,Direct Expenses,-12200,147700,FALSE
General Fund,Accounting & Fin Reporting,Adm-Finance,Employee Benefits,-58930.11,313048.7,FALSE
General Fund,Accounting & Fin Reporting,Adm-Finance,Miscellaneous,-2800,27900,FALSE
General Fund,Accounting & Fin Reporting,Adm-Finance,Salaries and Wages,-128209.85,1170616.78,FALSE
General Fund,Accounting & Fin Reporting,Management Accounting-Finance,Employee Benefits,81302.56,81302.56,FALSE
General Fund,Accounting & Fin Reporting,Management Accounting-Finance,Salaries and Wages,279866.42,279866.42,FALSE
General Fund,Arts Appropriations,African-American Cultural Fest,Other Expense,-13453,61547,FALSE
General Fund,Arts Appropriations,Arts Access,Other Expense,1901,16496,FALSE
General Fund,Arts Appropriations,Arts Together,Other Expense,3196,150209,FALSE
General Fund,Arts Appropriations,Artspace,Other Expense,4247,171563,FALSE
General Fund,Arts Appropriations,Artsplosure,Other Expense,-6681,168319,FALSE
General Fund,Arts Appropriations,Burning Coal Theatre Company,Other Expense,-5247,84515,FALSE
General Fund,Arts Appropriations,Carolina Ballet,Other Expense,0,250000,FALSE
General Fund,Arts Appropriations,Classical Voice of NC,Other Expense,-638,10416,FALSE
General Fund,Arts Appropriations,Community Music School,Other Expense,1683,38133,FALSE
General Fund,Arts Appropriations,Contemporary Art Foundation,Other Expense,-15196,113875,FALSE
General Fund,Arts Appropriations,"El Pueblo, Inc.",Other Expense,-1455,22670,FALSE
General Fund,Arts Appropriations,"International Focus, Inc.",Other Expense,871,21898,FALSE
General Fund,Arts Appropriations,Marbles Kids Museum,Other Expense,-514,13880,FALSE
General Fund,Arts Appropriations,N Ral Arts & Creative Theatre,Other Expense,4576,20312,FALSE
General Fund,Arts Appropriations,NC Master Chorale,Other Expense,-7857,49169,FALSE
General Fund,Arts Appropriations,NC Museum History Foundation,Other Expense,291,24327,FALSE
General Fund,Arts Appropriations,NC State University Theatre,Other Expense,-1762,12177,FALSE
General Fund,Arts Appropriations,NC Symphony,Other Expense,0,200000,FALSE
General Fund,Arts Appropriations,NC Theatre,Other Expense,-124,168563,FALSE
General Fund,Arts Appropriations,North Carolina Opera,Other Expense,2040,152240,FALSE
General Fund,Arts Appropriations,Nuv Yug Cultural Organization,Other Expense,-465,13640,FALSE
General Fund,Arts Appropriations,Performance Edge,Other Expense,-1086,6314,FALSE
General Fund,Arts Appropriations,Philharmonic Association,Other Expense,-2915,14888,FALSE
General Fund,Arts Appropriations,PineCone,Other Expense,10774,108900,FALSE
General Fund,Arts Appropriations,Raleigh Boychoir,Other Expense,-969,21094,FALSE
General Fund,Arts Appropriations,Raleigh Chamber Music Guild,Other Expense,1012,33650,FALSE
General Fund,Arts Appropriations,Raleigh Civic Symphony Orch,Other Expense,-200,5982,FALSE
General Fund,Arts Appropriations,Raleigh Dance Theatre,Other Expense,-4789,,FALSE
General Fund,Arts Appropriations,Raleigh Little Theatre,Other Expense,422,107991,FALSE
General Fund,Arts Appropriations,Raleigh Review,Other Expense,-4750,,FALSE
General Fund,Arts Appropriations,Raleigh Symphony Orchestra,Other Expense,-2418,18034,FALSE
General Fund,Arts Appropriations,The Justice Theater Project,Other Expense,11264,53923,FALSE
General Fund,Arts Appropriations,The Raleigh Ringers,Other Expense,514,20357,FALSE
General Fund,Arts Appropriations,Theatre In The Park,Other Expense,0,39500,FALSE
General Fund,Arts Appropriations,Visual Art Exchange,Other Expense,9299,96003,FALSE
General Fund,Arts Appropriations,"Wake Enterprises, Inc.",Other Expense,-1752,4977,FALSE
General Fund,Arts Appropriations,Wakefield Band Expo,Other Expense,-1350,,FALSE
General Fund,Budget & Management Services,Adm-General Govt,Direct Expenses,0,1200,FALSE
General Fund,Budget & Management Services,Adm-General Govt,Employee Benefits,2804.11,39691.7,FALSE
General Fund,Budget & Management Services,Adm-General Govt,Miscellaneous,-5000,17000,FALSE
General Fund,Budget & Management Services,Adm-General Govt,Salaries and Wages,15535.49,165842.69,FALSE
General Fund,Budget & Management Services,Admin Svcs-Budget & Mgmt,Direct Expenses,102500,209995,FALSE
General Fund,Budget & Management Services,Admin Svcs-Budget & Mgmt,Employee Benefits,-6419.45,177930.99,FALSE
General Fund,Budget & Management Services,Admin Svcs-Budget & Mgmt,Miscellaneous,2500,18850,FALSE
General Fund,Budget & Management Services,Admin Svcs-Budget & Mgmt,Salaries and Wages,6014.27,756142.28,FALSE
General Fund,Budget & Management Services,Admin Svcs-Real Estate,Direct Expenses,-1500,,FALSE
General Fund,Budget & Management Services,Admin Svcs-Real Estate,Employee Benefits,-123306.12,,FALSE
General Fund,Budget & Management Services,Admin Svcs-Real Estate,Salaries and Wages,-433078.72,,FALSE
General Fund,City Attorney,Adm-General Govt,Capital Equipment,0,2000,FALSE
General Fund,City Attorney,Adm-General Govt,Capital Project Expense,25000,25000,FALSE
General Fund,City Attorney,Adm-General Govt,Direct Expenses,28850,233527.36,FALSE
General Fund,City Attorney,Adm-General Govt,Employee Benefits,49490.22,585243.33,FALSE
General Fund,City Attorney,Adm-General Govt,Miscellaneous,6040.89,115640.89,FALSE
General Fund,City Attorney,Adm-General Govt,Salaries and Wages,165452.88,2300497.44,FALSE
General Fund,City Clerk,Adm-General Govt,Capital Equipment,0,2000,FALSE
General Fund,City Clerk,Adm-General Govt,Direct Expenses,180,67008,FALSE
General Fund,City Clerk,Adm-General Govt,Employee Benefits,2224.51,89080.08,FALSE
General Fund,City Clerk,Adm-General Govt,Miscellaneous,0,46835,FALSE
General Fund,City Clerk,Adm-General Govt,Salaries and Wages,8981.26,340861.89,FALSE
General Fund,City Council,Adm-General Govt,Capital Equipment,2500,5000,FALSE
General Fund,City Council,Adm-General Govt,Direct Expenses,-910,32983,FALSE
General Fund,City Council,Adm-General Govt,Employee Benefits,11965.96,63516.65,FALSE
General Fund,City Council,Adm-General Govt,Miscellaneous,10650,77750,FALSE
General Fund,City Council,Adm-General Govt,Salaries and Wages,8000,135441,FALSE
General Fund,City Manager,Adm-General Govt,Direct Expenses,-1967,179312,FALSE
General Fund,City Manager,Adm-General Govt,Employee Benefits,34859.69,373746.52,FALSE
General Fund,City Manager,Adm-General Govt,Miscellaneous,3570,207620,FALSE
General Fund,City Manager,Adm-General Govt,Salaries and Wages,38931.22,1359743.68,FALSE
General Fund,City Manager,Center of Excellence (CoE),Direct Expenses,-70950,15250,FALSE
General Fund,City Manager,Center of Excellence (CoE),Employee Benefits,21626.96,47450.65,FALSE
General Fund,City Manager,Center of Excellence (CoE),Miscellaneous,-16000,18000,FALSE
General Fund,City Manager,Center of Excellence (CoE),Salaries and Wages,65940.37,170509.37,FALSE
General Fund,City Manager,Employee Svc Prog,Direct Expenses,0,500,FALSE
General Fund,City Manager,Special Programs,Direct Expenses,0,3250,FALSE
General Fund,Community Svcs,Adm-Comm Dev Svcs,Direct Expenses,1871,78100,FALSE
General Fund,Community Svcs,Adm-Comm Dev Svcs,Employee Benefits,282.62,54317.32,FALSE
General Fund,Community Svcs,Adm-Comm Dev Svcs,Miscellaneous,3400,26776,FALSE
General Fund,Community Svcs,Adm-Comm Dev Svcs,Salaries and Wages,-9082.02,180766.91,FALSE
General Fund,Community Svcs,Fair Housing Hearing Board,Other Expense,0,10000,FALSE
General Fund,Community Svcs,Hrhrac Commission,Other Expense,0,14610,FALSE
General Fund,Community Svcs,Mayors Comm On Disabled,Other Expense,0,9000,FALSE
General Fund,Community Svcs,Neighborhood Incentives Prog G,Other Expense,0,20000,FALSE
General Fund,Community Svcs,Operations-Neighborhood Svcs,Direct Expenses,4038.48,78278.48,FALSE
General Fund,Community Svcs,Operations-Neighborhood Svcs,Employee Benefits,8680.29,166172.94,FALSE
General Fund,Community Svcs,Operations-Neighborhood Svcs,Miscellaneous,-3000,,FALSE
General Fund,Community Svcs,Operations-Neighborhood Svcs,Salaries and Wages,-584.75,523705.08,FALSE
General Fund,Community Svcs,Rcac Commission,Other Expense,0,15000,FALSE
