LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2013,2014,2015,2016,LEVEL
Workers' Compensation Fund,Finance,Workers Compensation,,,,0,0,0,"1,090,300",3
Workers' Compensation Fund,Finance Total,,,,,0,0,0,"1,090,300",2
Workers' Compensation Fund Total,,,,,,0,0,0,"1,090,300",1
Civic Center Fund,Civic Center,Concessions Division,,,,"597,889.76","1,071,400.34","629,692.57","988,006",3
Civic Center Fund,Civic Center,Civic Center Administration,,,,"1,049,838","742,762.64","1,039,936.74","1,690,427",3
Civic Center Fund,Civic Center,Event Personnel Division,,,,"120,591.97","142,976.84","125,448.9","150,000",3
Civic Center Fund,Civic Center,Ticket Office,,,,"46,840.8","59,112.63","81,030.66","50,000",3
Civic Center Fund,Civic Center Total,,,,,1815160.5300000003,"2,016,252.45",1876108.8699999999,"2,878,433",2
Civic Center Fund Total,,,,,,1815160.5300000003,"2,016,252.45",1876108.8699999999,"2,878,433",1
Street Cut Utility Fund,Public Works,Street Cuts Division,,,,0,"40,000",1541597.5199999998,"1,493,808",3
Street Cut Utility Fund,Public Works Total,,,,,0,"40,000",1541597.5199999998,"1,493,808",2
Street Cut Utility Fund Total,,,,,,0,"40,000",1541597.5199999998,"1,493,808",1
Health Insurance Fund,Human Resources,Group Health Life & Dental,,,,0,0,0,1E+07,3
Health Insurance Fund,Human Resources Total,,,,,0,0,0,1E+07,2
Health Insurance Fund Total,,,,,,0,0,0,1E+07,1
Parking Services Fund,Transportation,Parking Services Division,,,,1653752.1500000001,"1,585,822.02","1,620,427.5","1,992,700",3
Parking Services Fund,Transportation,Parking Garage Divison,,,,"1,173,504.54",1335108.8699999999,1625405.4600000002,"1,864,000",3
Parking Services Fund,Transportation Total,,,,,"2,827,256.69",2920930.889999999,3245832.9600000004,"3,856,700",2
Parking Services Fund Total,,,,,,"2,827,256.69",2920930.889999999,3245832.9600000004,"3,856,700",1
Water Services Fund,Water,Water General Operations Div,,,,"359,152.76","162,675.9","278,225.36","8,584,359",3
Water Services Fund,Water,Water Administration,,,,"922,259.31","945,915.5","1,085,893.84","1,003,499",3
Water Services Fund,Water,Maintenance & Repairs Division,,,,"4,956","1,567.98",0,"16,000",3
Water Services Fund,Water,Meter Services Division,,,,3.02E+07,3.1830897130000003E7,3.1961248410000004E7,3E+07,3
Water Services Fund,Water Total,,,,,3.1533532700000003E7,3.29E+07,3.33E+07,4E+07,2
