Fund,Department,Division,Account,Amount,Current,Revenue,Annotation
Housing Development-Operating,Community Development,Other Expense,Grant Expend Reimb,-975856,-975856,false,0
General Fund,IT Customer Relationship Mgt,Direct Expenses,MFD Lease Contra Account,0,-810161,false,0
General Fund,Public Affairs,Direct Expenses,Print/Copy Contra Account,0,-450000,false,0
General Fund,Fire Operations,Employee Benefits,Health Insurance Increment,-97506.66,-322999.28,false,0
General Fund,Police Field Operations,Employee Benefits,Health Insurance Increment,-78264.24,-294398.47,false,0
Public Utilities Fund,Public Utilities Admin,Non-Program Revenues,Water Sewer Refunds,0,-250000,true,0
General Fund,Special Appropriations,Miscellaneous,Postage Contra Account,-21185,-171210,false,0
General Fund,Police Detective Division,Employee Benefits,Health Insurance Increment,-37126.54,-134407.61,false,0
Public Utilities Fund,PU Sewer Maintenance,Employee Benefits,Health Insurance Increment,-16780.72,-65800.38,false,0
SWS Operating Fund,Solid Waste Residential Collec,Employee Benefits,Health Insurance Increment,-19368.29,-62681.68,false,0
General Fund,Emergency Communications,Employee Benefits,Health Insurance Increment,-15933.1,-60081.86,false,0
General Fund,PRCR - Parks -Park Maintenance,Employee Benefits,Health Insurance Increment,-16482.43,-59652.32,false,0
General Fund,PRCR - Recreation,Employee Benefits,Health Insurance Increment,-21247.5,-58989.55,false,0
General Fund,Transportation Field Services,Employee Benefits,Health Insurance Increment,-21333,-58049.73,false,0
General Fund,Public Works,Employee Benefits,Health Insurance Increment,-14570.12,-56828.21,false,0
Public Utilities Fund,PU Water Distribution,Employee Benefits,Health Insurance Increment,-17115.45,-55709.99,false,0
Public Utilities Fund,PU Water Plant,Employee Benefits,Health Insurance Increment,-15939.12,-53738.25,false,0
Public Utilities Fund,Resource Recovery,Employee Benefits,Health Insurance Increment,-10629.6,-52744.88,false,0
General Fund,Police Special Operations,Employee Benefits,Health Insurance Increment,-14529.24,-51311.66,false,0
Public Utilities Fund,PU Meters,Employee Benefits,Health Insurance Increment,-13069.74,-47823.66,false,0
General Fund,Police Administrative Services,Employee Benefits,Health Insurance Increment,-12274.46,-40893.01,false,0
General Fund,Inspections,Employee Benefits,Health Insurance Increment,-12755.27,-32776.54,false,0
General Fund,Planning,Employee Benefits,Health Insurance Increment,-6154.33,-31317.83,false,0
Stormwater Utility Fund,Stormwater Management,Employee Benefits,Health Insurance Increment,-7848.76,-31147.3,false,0
General Fund,Fire Operations,Employee Benefits,Dental Insurance Increment,-31090.16,-31090.16,false,0
Rcc/Pac Operations Fund,RCC Facility,Employee Benefits,Health Insurance Increment,-7238.5,-28248.66,false,0
Public Utilities Fund,PU Utility Billing,Employee Benefits,Health Insurance Increment,-5088.01,-28201.62,false,0
